,SYMBOL,cm23SEP2022bhav.csv,cm22SEP2022bhav.csv,cm21SEP2022bhav.csv,cm20SEP2022bhav.csv,cm19SEP2022bhav.csv,cm16SEP2022bhav.csv,cm15SEP2022bhav.csv,cm14SEP2022bhav.csv,cm13SEP2022bhav.csv,cm12SEP2022bhav.csv,cm09SEP2022bhav.csv,cm08SEP2022bhav.csv,cm07SEP2022bhav.csv,cm06SEP2022bhav.csv,cm05SEP2022bhav.csv,cm02SEP2022bhav.csv,cm01SEP2022bhav.csv
0,20MICRONS,-1.4911463187325205,2.434367541766107,-2.69391546679053,0.7487131492746948,-0.37296037296037826,-2.010050251256284,-0.9950248756218855,2.219140083217745,-1.8157058556513843,6.373732496378569,-1.801801801801807,0.7644529383659792,-0.47551117451260105,-0.9420631182289214,0.0,-2.4804777216352676,-0.7295941632467043
1,21STCENMGM,0.19880715705765692,1.8218623481781346,1.8556701030927807,-1.422764227642282,-1.9920318725099602,-1.953125,-1.9157088122605364,-1.1363636363636256,-1.1235955056179803,0.7547169811320728,-1.669758812615953,-0.9191176470588236,0.0,-1.9819819819819846,-1.943462897526504,-1.9064124783362242,-1.8707482993197182
2,3IINFOLTD,-2.9978586723768856,-0.5324813631522897,-2.7950310559006093,0.31152647975077585,-3.1187122736418593,-3.4951456310679556,2.385685884691855,-2.3300970873786464,-1.9980970504281583,0.0,11.808510638297866,0.8583690987124433,-1.0615711252653928,-0.10604453870625061,-0.8412197686645606,1.277955271565483,5.743243243243254
3,3MINDIA,-0.48366959386442565,3.661255554854659,-3.900156984558647,2.037590809618665,-2.0728462158650736,4.654523038719554,0.27311205265845545,0.03946996226233052,-0.017539128699934008,-0.14798631345514884,0.44174234261967377,-0.18041667032474362,-0.8901380018446748,-1.1170216198426655,0.7284387966243017,0.7392807564367782,-1.745491510593249
4,3PLAND,-3.8251366120218537,1.6666666666666705,1.4084507042253522,-1.3888888888888888,-0.8264462809917278,0.5540166204986031,0.8379888268156545,1.1299435028248548,1.1428571428571388,-2.7777777777777777,1.6949152542372923,-1.9390581717451603,-0.550964187327812,-2.1563342318059413,3.05555555555556,-2.7027027027027026,4.51977401129944
5,4THDIM,10.000000000000007,9.955423476968802,,,,,,,,,,,,,,,
6,5PAISA,-1.5936826992103408,1.5454147834961398,-2.335184394133558,-2.3090833217415527,-1.3042284459088413,-3.854276663146785,0.6777408637873784,5.436457895474282,1.2627695800227146,1.8202831551574556,-1.2835139760410723,-1.0861898716320963,1.8388162620313107,-0.9533295389868999,5.907172995780581,-2.683677958644956,-1.216862233811383
7,63MOONS,-5.8406577828182495,-0.47968397291196074,-2.234482758620696,2.4879841673734835,-1.3389121338912167,-3.810034880601017,-0.16072863648540656,-3.7142120196027797,8.660313901345285,-1.5180789401048853,-1.8157181571815686,-0.8331093791991462,1.666666666666673,-1.1612206319200677,1.9267822736030826,-3.633952254641907,3.885367869936628
8,A2ZINFRA,-1.7857142857142794,-0.44444444444445075,-1.3157894736842135,-2.9787234042553163,0.8583690987124433,-2.9166666666666634,0.41841004184101016,-3.2388663967611366,-1.5936254980079765,-0.39682539682538837,-0.7874015748031469,-1.5503875968992331,0.0,-2.272727272727265,7.317073170731696,0.40816326530612823,-1.2096774193548416
9,AAKASH,-2.4475524475524573,-1.3793103448275814,-4.290429042904292,0.0,4.4827586206896575,-4.918032786885246,-4.984423676012465,4.901960784313726,4.794520547945213,4.659498207885307,4.887218045112771,4.72440944881891,2.4193548387096686,0.0,-0.4016064257028027,0.0,1.2195121951219396
10,AAREYDRUGS,-2.818627450980389,-0.36630036630038015,-0.8474576271186304,-0.9592326139088866,-1.0676156583629792,3.562653562653552,3.037974683544311,-2.948402948402955,-0.8526187576126536,-0.2430133657351189,0.488400488400478,1.9925280199252908,-0.12437810945274692,-1.1070110701106906,3.4351145038167976,0.8985879332477388,0.1285347043701909
11,AARON,,,,,,,,,,3.6241984945637027,-4.474034620505995,1.9272529858849141,-1.8646776771443794,-4.526958290946086,9.893795416433756,-9.874055415617125,19.326720769461982
12,AARTIDRUGS,-0.8908685968819574,-0.6741809754555965,3.106332138590193,1.5776699029126289,0.5100909292526085,-1.3239960608381685,-0.2945668775911025,-0.993735147980118,-0.41949015811553086,-0.9798700607093335,0.707926633058031,6.366229321163715,0.5160550458715597,0.541911679926213,-0.48192771084337876,-0.045876820736320365,1.0312862108922338
13,AARTIIND,-2.4475125513464095,1.6705336426914126,-1.5194790357591632,1.0797390149546635,-2.130424954792033,-2.474510884541201,-0.1265962131219702,1.5539407490217974,0.6583019186406373,3.3554314956966764,0.5790489559571774,0.748379493223338,-0.10595714622085911,0.5088155247899603,0.8592910848550002,0.3412969283276478,0.5236547490068507
14,AARTISURF,-2.616191452167104,-0.14446517787274205,-0.5804907241172977,2.6665028262472408,-1.8808777429467114,-3.5525321239607033,-1.3649136892814104,0.47248631518294704,5.0926486617415465,-0.3499879314506369,-0.18070112034694613,-0.2583358365875611,-1.6020335776779329,-1.404674476889907,-0.28478437754270974,-2.889716672310647,19.999999999999996
15,AARVEEDEN,3.675048355899417,-4.788213627992623,6.262230919765158,0.5905511811023706,-1.740812379110262,-2.6365348399246678,-5.683836589698039,10.826771653543307,-3.0534351145038197,2.3437499999999916,-6.569343065693421,0.18281535648993474,0.0,-0.18248175182480714,0.5504587155963251,-0.7285974499089227,-3.0035335689045985
16,AARVI,-4.6076099881093935,3.5076923076923006,9.983079526226735,-1.1705685618729096,-9.558378705384156,4.35606060606061,20.000000000000004,20.0,1.102941176470591,-0.7299270072992675,-0.49931911030414106,-0.5417607223476246,0.5447117566954102,-0.8550855085508449,3.92890551917679,0.4699248120300752,0.28275212064091554
17,AAVAS,-1.0865858925689384,1.326730392721418,-2.324064074874014,-0.5682072390496988,3.266494178525218,-2.1364139895553094,-2.3295354177707117,-0.7212223513163872,-1.1827654181920664,-0.22046903706905474,0.984415244248491,0.19245068451207786,0.12919613725448456,-0.2010533446972141,0.4853089727260629,-1.3090026440119553,1.4288226501362877
18,ABAN,-3.30578512396695,-0.1833180568285872,-1.534296028880869,-0.27002700270026747,-1.2444444444444496,-0.6183745583038894,-0.17636684303351222,-3.159692570452595,-1.181434599156123,8.715596330275229,-2.6785714285714284,0.35842293906810546,2.857142857142852,-1.5426497277676976,-0.7207207207207181,0.6346328195829581,-4.749568221070812
19,ABB,-0.618619000667912,0.46171297109899884,-0.6633762358953227,-0.22959022103996451,-0.702797037875569,-3.5426682236612543,0.2523831967524585,-2.090001042023306,0.8784839019702068,0.4510280120072954,-0.10849092141942014,0.24015950215991957,-1.5392394521199864,2.2148242733795565,-2.365757368874121,-1.022416781737513,4.319975480806063
20,ABBOTINDIA,-0.30293723475541656,-0.022889555105200087,-1.1096940888086524,4.2273620489744355,-0.9659247946341311,-1.899075619212142,-0.5205422314911284,0.3387172826726899,-1.2094851419105423,-0.7465912324090123,0.7630389238063814,-0.7349923107654717,0.08654451839070618,0.2608600142786534,-1.2647589095690601,-0.030355840924544297,-1.5576515161621765
21,ABCAPITAL,-3.536006899525665,-1.1930123561993962,0.12798634812285964,2.0017406440382914,-0.6485084306095978,-3.7052456286427886,1.8228062738448423,0.34028073160357775,-1.0938157341186345,3.258036490008688,-0.17346053772766942,0.34812880765882637,0.0,-0.43327556325823224,0.610287707061903,0.7908611599297063,-0.3938730853391709
22,ABFRL,-2.784626540971725,0.8483252888693804,1.2738853503184746,2.0559334845049166,1.2396694214876067,-3.9117647058823564,1.6290539530712862,1.3787878787878822,1.8361363987039,-0.27696568702876667,0.7753140021708792,0.13975155279502752,3.4371988435592638,-0.71758890129166,1.9840624491787358,0.5231322543730474,-0.032685079261306066
23,ABMINTLLTD,,,,,,,,,,,,,,,,,
24,ABSLAMC,-1.4004422449194553,1.0211679608552304,-0.9482667790538404,0.23233710001056557,-0.34729530625132266,-1.4008508872055618,-1.492384749054473,-1.2017774187033015,0.06063055780113406,4.410213125131892,-0.05272593061267532,0.17959011197970967,-0.12660898923822872,-0.021097046413506907,-0.010547410610697474,1.4661815068493198,1.5652173913043455
25,ACC,-2.6137653089173116,0.967920353982301,-7.132374523040802,3.199424482223316,1.133448209841084,-4.956873021072163,0.1640419947506562,6.623134328358195,2.877021812583733,5.717365573216098,-2.294364248394366,0.6568690627143735,3.236120946801438,1.8268033127198708,-0.08296762079430976,-0.2743484224965588,-0.14567117450101794
26,ACCELYA,-0.3276253713087542,0.0961958898119728,-1.6893779822035069,1.9680897694398216,1.3505108840515367,-4.024899803871412,0.10670536514575953,-1.197655294564167,1.5372098998030355,3.4461374911410427,0.2397655625610555,0.6075225587420668,0.38114882740684275,0.3013402896464792,-0.3227831076840231,-1.5578798711328912,0.7917797251012046
27,ACCURACY,0.7818608287724784,0.13701311411235967,-0.5257009345794481,5.44036132211045,4.95582848524025,-3.972687771570451,0.3321569441561185,-0.20716801325875284,1.1737581219869977,-1.770640312950374,0.12368583797154523,19.985159534998765,1.049737565608595,0.5781799899446987,-1.020154267230646,-0.1242544731610338,-0.34670629024270283
28,ACE,-2.749957562383304,0.6492397061336184,-1.5806288885152329,0.9506026141571927,1.761962342373475,-4.8331415420022985,-1.2339665530118564,-0.25910931174089435,-2.464065708418895,2.8260516485301244,0.01624431448993222,7.098121085595002,-0.9648518263266752,-2.8293989619956434,3.733935394234109,8.723564954682766,4.684720300454645
29,ACRYSIL,-2.914134330684127,-0.09341429238672101,-3.5150968904912254,0.3391363328057879,-2.218128224023575,-3.016009148084623,-2.535525215937578,3.795820981852361,-1.1294588605332891,2.0722364100693245,0.27070529704419416,1.4247551202137168,-4.411973329550294,0.11362022439993674,0.13510630733130136,-0.83209928777942,1.9116061803808773
30,ADANIENT,-1.1301563382934638,2.093349083816386,-5.070999204600286,1.4793643232371372,2.0649883852844333,-1.2404300157387895,4.943870552336159,0.45840598458855186,2.6560424966799467,0.36509040333798,-0.33498902622156534,-0.31522130262683895,1.1045462483264399,2.666925639838042,-0.2756421717623219,3.7903038738111863,1.2177751342213625
31,ADANIGREEN,-1.681756642409883,0.033858134416782086,-1.5479489156023933,2.2843991731838775,1.284209617542951,-1.164725457570723,2.19305894663412,-1.8003553614625558,-0.8616481674059182,1.7293492810570286,-0.777618302949812,-0.5496495451543338,-1.1768916585961628,0.8964228056759245,-1.2294909991187835,-0.417868037273829,-1.7691486741646791
32,ADANIPORTS,-3.4701315163999396,1.4738985957766106,-3.8495233187322877,1.1098374322634406,2.2809635472180747,-3.1335501522894957,2.1838898559898645,-0.10012647554805353,1.0974960042621156,3.4901031041517316,2.463137675837531,1.160132586581321,2.8870465102604754,-0.06463744270771589,-0.12324666940548953,1.6889472427787169,-0.5165350590749893
33,ADANIPOWER,,,,,,,,,,,,,,,,,
34,ADANITRANS,-3.135396082943543,3.418482829981248,-3.8741281346744456,-0.19481808706010595,-1.5959460284510631,-0.2594144297754089,3.1987230245214366,-1.458986140870192,0.7750873689465847,1.9053191218742869,0.1311784408869214,0.8438005702396525,-1.7898361524198805,2.133333333333338,0.3801838848585901,-0.35820587818422184,-2.02615699245083
35,ADFFOODS,-0.40305767894370775,3.294810135668659,-0.5070704185116509,0.04286939125465393,0.4521639273666802,-2.121531436599933,0.8715986394557791,-1.3008812421317604,0.8677248677248645,-0.39350713231676687,1.079622132253698,-0.1560173037373107,-0.08502798837951148,-1.8430936152455142,-0.47760780784938683,0.2776428125216909,-0.7166976776238623
